load 2 P A,load 2 Q A,load2 P B,load 2 Q B,load 2 P C,load 2 Q C,load 1 P A,load 1 A,load 1 P B,load 1 Q B,load 1 P C,load 1 Q C,load 3 P,load 3 Q
0.0985,0.047705727,0.100257404,0.047815637,0.103256819,0.048241906,0.1585,0.076765054,0.16195135,0.077365989,0.168580733,0.080074359,0.12,0.058118653
0.0985,0.047705727,0.101192993,0.048551473,0.10020735,0.048609224,0.1535,0.074343443,0.154446414,0.075815047,0.156858158,0.075868726,0.12,0.058118653
0.0985,0.047705727,0.098520003,0.050937818,0.099216577,0.049677345,0.1485,0.071921833,0.152507586,0.073343435,0.155831271,0.075697333,0.12,0.058118653
0.0985,0.047705727,0.105133492,0.052000683,0.101964476,0.049001256,0.1435,0.069500222,0.146134198,0.072443556,0.149587954,0.075491645,0.12,0.058118653
0.0985,0.047705727,0.101850193,0.047732224,0.100570033,0.048682359,0.1535,0.074343443,0.159439214,0.076462453,0.164752725,0.078833874,0.1,0.04843221
0.0985,0.047705727,0.100850437,0.048359802,0.103252571,0.047916724,0.1535,0.074343443,0.15494214,0.075961202,0.157636295,0.076963798,0.12,0.058118653
0.0985,0.047705727,0.103078513,0.049939437,0.10200844,0.049300208,0.1585,0.076765054,0.159769807,0.079536169,0.165795606,0.081614102,0.1,0.04843221
0.0985,0.047705727,0.103493244,0.051411792,0.099222243,0.048553414,0.1535,0.074343443,0.153904979,0.076095763,0.161480659,0.078190618,0.12,0.058118653
0.0985,0.047705727,0.103855744,0.048881797,0.098517733,0.048531223,0.1535,0.074343443,0.158316521,0.077102748,0.159631218,0.078518438,0.1,0.04843221
0.0935,0.045284117,0.0953341,0.045380648,0.097614871,0.04531783,0.1585,0.076765054,0.164836692,0.080077518,0.168716088,0.081598267,0.1,0.04843221
0.0985,0.047705727,0.099458232,0.049249938,0.100149397,0.04897458,0.1435,0.069500222,0.146151347,0.071769644,0.150447378,0.074874013,0.1,0.04843221
0.0935,0.045284117,0.096461791,0.048285862,0.093555455,0.047510027,0.1535,0.074343443,0.153769447,0.077195159,0.158851416,0.080192267,0.12,0.058118653
0.0985,0.047705727,0.10016869,0.047862148,0.101696832,0.048865151,0.1535,0.074343443,0.157926741,0.07478107,0.159788085,0.075013968,0.1,0.04843221
0.0985,0.047705727,0.105788338,0.050258803,0.100130789,0.049429893,0.1485,0.071921833,0.151327293,0.072215607,0.15744556,0.073581742,0.1,0.04843221
0.0935,0.045284117,0.098963638,0.04687529,0.094935695,0.045323974,0.1485,0.071921833,0.150585168,0.075507989,0.152732353,0.078400321,0.1,0.04843221
0.0935,0.045284117,0.100498839,0.049133322,0.097628566,0.046222708,0.1435,0.069500222,0.146897825,0.07051246,0.151319851,0.072455374,0.1,0.04843221
0.0985,0.047705727,0.099788796,0.050239786,0.103126588,0.049662002,0.1485,0.071921833,0.151829512,0.073623929,0.158747369,0.075337195,0.12,0.058118653
0.0985,0.047705727,0.103723888,0.052077693,0.098656321,0.048076293,0.1585,0.076765054,0.160456403,0.079088639,0.163343529,0.080038769,0.1,0.04843221
0.0985,0.047705727,0.09949597,0.052373803,0.101039159,0.049024382,0.1535,0.074343443,0.160126113,0.07690143,0.163392644,0.079736916,0.12,0.058118653
0.0935,0.045284117,0.095657688,0.04696998,0.095153947,0.047146983,0.1535,0.074343443,0.155251215,0.075904007,0.158113779,0.077627154,0.12,0.058118653
0.0985,0.047705727,0.102239226,0.05037581,0.099702409,0.048917148,0.1485,0.071921833,0.153718699,0.075019075,0.159526771,0.075562299,0.1,0.04843221
0.0985,0.047705727,0.106914141,0.049363881,0.101000065,0.04893004,0.1535,0.074343443,0.160322722,0.076651717,0.161016797,0.08045748,0.1,0.04843221
0.0985,0.047705727,0.103543221,0.051259804,0.099697196,0.050020597,0.1485,0.071921833,0.149272927,0.073216214,0.15085806,0.074013801,0.1,0.04843221
0.0985,0.047705727,0.106418311,0.048556606,0.101041189,0.048616393,0.1435,0.069500222,0.14525714,0.070447785,0.147652528,0.071844452,0.1,0.04843221
0.0935,0.045284117,0.095799947,0.047285796,0.097009505,0.046550203,0.1485,0.071921833,0.151567197,0.072657598,0.154187664,0.075817153,0.1,0.04843221
0.0985,0.047705727,0.104199809,0.052399894,0.099611685,0.049153797,0.1385,0.067078612,0.142195745,0.070422155,0.146445616,0.07159707,0.12,0.058118653
0.0985,0.047705727,0.10395433,0.051229967,0.098735852,0.049769618,0.1535,0.074343443,0.160701087,0.075149728,0.166182983,0.077604359,0.1,0.04843221
0.0985,0.047705727,0.103549963,0.048210271,0.102786849,0.049635026,0.1435,0.069500222,0.144168238,0.072253501,0.15019816,0.073119531,0.1,0.04843221
0.0985,0.047705727,0.107518666,0.048600955,0.101739275,0.050011481,0.1485,0.071921833,0.150285902,0.071998587,0.157337687,0.074526012,0.12,0.058118653
0.0985,0.047705727,0.104151228,0.051541582,0.102622614,0.048587209,0.1435,0.069500222,0.147274551,0.071247472,0.148719859,0.07301604,0.1,0.04843221
0.0985,0.047705727,0.105085203,0.049099723,0.099478729,0.048729835,0.1535,0.074343443,0.153844508,0.077294372,0.161435226,0.078491396,0.1,0.04843221
0.0935,0.045284117,0.101399741,0.049129117,0.094303547,0.047422201,0.1435,0.069500222,0.144956334,0.070039516,0.151120342,0.070965339,0.12,0.058118653
0.0985,0.047705727,0.102546509,0.051009475,0.098964851,0.049404152,0.1435,0.069500222,0.147494096,0.072559319,0.153748292,0.076176436,0.1,0.04843221
0.0985,0.047705727,0.098655562,0.050500547,0.10039819,0.047959875,0.1385,0.067078612,0.1430569,0.069447896,0.145308353,0.070372754,0.1,0.04843221
0.0985,0.047705727,0.099989023,0.048233556,0.102394297,0.048992007,0.1535,0.074343443,0.157965892,0.074794129,0.163632409,0.075281623,0.1,0.04843221
0.0985,0.047705727,0.102518962,0.049893469,0.100746353,0.049248206,0.1485,0.071921833,0.149538433,0.073283148,0.151439185,0.074105708,0.1,0.04843221
